,questionID,answerID,commentID,UserId,CreationDate,Score,need_update,addressed in,addressed by commentID,Text,Link
0,42265416,42265695,71691329,7572768,2/16/2017 7:27,1,no update,,,Thank you very much!,https://stackoverflow.com/questions/42265695
1,42265416,42265695,71710239,45375,2/16/2017 14:41,0,no update,,,@SashaToscano: My pleasure; I'm glad it helped.,https://stackoverflow.com/questions/42265695
2,49069991,49070565,85147301,8913835,3/2/2018 14:23,0,update,comment,85148165,"I can't even run mvn dependency:tree and not see this ERROR related to this ('dependencies.dependency.version' for org.json:json:jar is missing. @ line 59, column 21). I tried the exclusion, but does not work",https://stackoverflow.com/questions/49070565
3,49069991,49070565,85148007,8913835,3/2/2018 14:40,0,update,comment,85148165,"I deleted the repository files from .m2 folder and I tried to run **mvn clean install**, and it worked for 3 seconds and after that the same error popped out. I will try to rewrite my pom.xml file.",https://stackoverflow.com/questions/49070565
4,49069991,49070565,85148165,76237,3/2/2018 14:44,1,no update,,,"add version to your explicit import, and then run the `mvn dependency:tree`",https://stackoverflow.com/questions/49070565
5,29440415,29440552,47049660,1199662,4/3/2015 22:35,0,update,comment,47059506,"correct, if the `Button` is located inside the `Fragment`'s layout",https://stackoverflow.com/questions/29440552
6,29440415,29440552,47059506,4747848,4/4/2015 12:20,0,no update,,,It is inside the layout. Thanks! I just changed it to this and i changed the other one to getActivity. Everything ist fine now!,https://stackoverflow.com/questions/29440552
7,53846428,53846472,94540507,1189885,12/19/2018 7:30,2,update,both,94540586,"And more specifically, `1 -> ArrayList::new` does not in fact produce a list with the value `1` inserted.",https://stackoverflow.com/questions/53846472
8,53846428,53846472,94540584,9521481,12/19/2018 7:33,0,update,both,94540605,So when using `ArrayList::new` the given key is inserted into the list? That in my example I'd have a List with the value 1 already in it?,https://stackoverflow.com/questions/53846472
9,53846428,53846472,94540586,1221571,12/19/2018 7:33,0,no update,,,@chrylis did the OP expect such behavior (1 being inserted into the List)? I didn't see that mentioned in the question.,https://stackoverflow.com/questions/53846472
10,53846428,53846472,94540605,1221571,12/19/2018 7:34,0,no update,,,"@Fussel no, chrylis's comment said it ""does not"" insert 1 into the list.",https://stackoverflow.com/questions/53846472
11,53846428,53846472,94540746,9521481,12/19/2018 7:40,0,no update,,,"Ah, I see but as I don't want the key being part of the list I'll use the lambda expression. If the generated list is `List<String>` it does also work the a string as key.",https://stackoverflow.com/questions/53846472
12,53846428,53846472,94540854,1221571,12/19/2018 7:45,1,no update,,,"@Fussel the key will **not** be part of the list either way, but you are correct to use lambda expressions in both cases (Integer and String key). No, the `List` being `List<String>` makes no difference, since the key is not added to the List, it is passed to the `ArrayList` constructor (which doesn't work for Strings, since ArrayList has no constructor that accepts a String).",https://stackoverflow.com/questions/53846472
13,53846428,53846472,94555425,8718773,12/19/2018 15:08,2,no update,,,@Fussel If you replace `1` with 1 billion you might get a memory error since Java will try to allocate an array that has the capacity of storing 1 billion elements. Note that capacity != actual elements. An empty `ArrayList` can consume an arbitrary amount of memory depending on the capacity.,https://stackoverflow.com/questions/53846472
